Status;Carta-Consulta;Modalidade;UF;Município;Agente Financeiro;Proponente;Empreendimento;Valor de Contrapartida (R$);Valor de Empréstimo (R$);Valor de Investimento (R$)
Pré-selecionada pelo Gestor da Aplicação;1368.2.2012/2017;Qualificação Viária;MG;Pirapora;Caixa Econômica Federal;Prefeitura Municipal de Pirapora;Qualificação Viária do Prefeitura Municipal de Pirapora;R$ 426.313,25;R$ 8.099.951,68;R$ 8.526.264,93
Não enquadrada pelo Agente Financeiro;932.24.2710/2017;Qualificação Viária;PR;Moreira Sales;Caixa Econômica Federal;Prefeitura Municipal de Moreira Sales;Qualificação Viária do Prefeitura Municipal de Moreira Sales;R$ 52.500,00;R$ 997.500,00;R$ 1.050.000,00
Em análise de enquadramento;933.24.2710/2017;Qualificação Viária;PR;Moreira Sales;Caixa Econômica Federal;Prefeitura Municipal de Moreira Sales;Qualificação Viária do Prefeitura Municipal de Moreira Sales;R$ 52.500,00;R$ 997.500,00;R$ 1.050.000,00
Pré-selecionada pelo Gestor da Aplicação;922.2.2610/2017;Qualificação Viária;SC;Anita Garibaldi;Caixa Econômica Federal;Prefeitura Municipal de Anita Garibaldi;Qualificação Viária do Prefeitura Municipal de Anita Garibaldi;R$ 249.291,60;R$ 4.736.540,40;R$ 4.985.832,00
Não enquadrada pelo Agente Financeiro;1217.2.0412/2017;Qualificação Viária;SP;São Sebastião;Caixa Econômica Federal;Prefeitura Municipal de São Sebastião;Qualificação Viária do Prefeitura Municipal de São Sebastião;R$ 999.561,09;R$ 18.991.660,70;R$ 19.991.221,79
Em análise de enquadramento;1115.2.2011/2017;Qualificação Viária;BA;Candeias;Agência de Fomento do Estado da Bahia – Desenbahia;Prefeitura Municipal de Candeias;Qualificação Viária do Prefeitura Municipal de Candeias;R$ 1.001.998,03;R$ 19.037.962,53;R$ 20.039.960,56
Em análise de enquadramento;934.24.2710/2017;Qualificação Viária;PR;Moreira Sales;Caixa Econômica Federal;Prefeitura Municipal de Moreira Sales;Qualificação Viária do Prefeitura Municipal de Moreira Sales;R$ 52.500,00;R$ 997.500,00;R$ 1.050.000,00
Não enquadrada pelo Agente Financeiro;1251.2.0812/2017;Qualificação Viária;CE;Horizonte;Caixa Econômica Federal;Prefeitura Municipal de Horizonte;Qualificação Viária do Prefeitura Municipal de Horizonte;R$ 999.917,00;R$ 18.998.423,00;R$ 19.998.340,00
Não enquadrada pelo Agente Financeiro;930.24.2710/2017;Qualificação Viária;MA;Balsas;Caixa Econômica Federal;Prefeitura Municipal de Balsas;Qualificação Viária do Prefeitura Municipal de Balsas;R$ 998.807,70;R$ 18.977.346,20;R$ 19.976.153,90
Selecionada pelo gestor da aplicação;929.35.2710/2017;Transporte Não Motorizado;PR;Pinhais;Caixa Econômica Federal;Prefeitura Municipal de Pinhais;Transporte Não Motorizado do Prefeitura Municipal de Pinhais;R$ 252.500,00;R$ 4.797.500,00;R$ 5.050.000,00
Não enquadrada pelo Agente Financeiro;1079.2.1611/2017;Qualificação Viária;SC;Modelo;Caixa Econômica Federal;RICARDO LUIS MALDANER;Qualificação Viária do RICARDO LUIS MALDANER;R$ 100.000,00;R$ 1.900.000,00;R$ 2.000.000,00
